Identifier,Comment,SubTask1,SubTask2
6563,Bahut bade level pe conspiracy chal rahi hai.....baqayda hindu ladko ko training di ja Rahi hai Muslim ladkiyon ki zindagi barbaad karne ke liye......hindu ladko train Kiya ja raha hai gentleman ki tarah behave karne ke liye taaki masoom ladkiyan inke jaal me phans jaye,AntiReligion,Hinduism
1715,मूत पीने वालों के लिए कितना ही कर लो। इतिहास गवाह है कि ये अहसान फरामोश है।,AntiReligion,Hinduism
11546,Hahahahaha...naali mein finayal daal diya ....keede bahar aa rahe hein😂😂😂😂,Non-AntiReligion,None
6157,Jesus syster ko Shakti Dena ki aapko pahchan amen 🙏🙏,Non-AntiReligion,None
10732,Samir Maulana se accha bol raha,Non-AntiReligion,None
10937,Yeh hain peace wala religion musalman 😂😂😂,AntiReligion,Islam
3009,चेनल भी तो मोलाना वाला हे कीसे good bole,Non-AntiReligion,None
8047,"ईनको अनुचेद 25(indian Constitution artical number 25 )पडने को बोलियेगा । पुलिस को पता नै कानुन बजरंगदल, RSS, वाले को पता नै संविंदान के बारेमे। आप लोग बि करोना । भारतिय हर ऐक नागरीक को अदीकार है कि ओ अपने धर्म का प्रचार करने और किसीबि धर्म को स्वीकार करनेका पुरी स्वतंत्रता है ।🙏🙏",Non-AntiReligion,None
8425,आरे बेवखुब औरत विदेशोमे जो हीलींग प्रेयर होती है कीया ओ भि झुट है इंडीया के पास्टर रोको झुटा बंता रही हो सहि में तो अब तुम अंध भक्त बनकर अंधेरे में भटक रही हो,Non-AntiReligion,None
3652,अगर 1947 में बंटवारा बाबा साहेब आंबेडकर की इच्छा के अनुसार होता तो आज ये बहस करने की जरूरत ही नहीं होती क्यों कि भारत में आज एक भी मुसलमान नहीं होता तो आज भारत में ये हालात उत्पन्न ही नहीं होते,Non-AntiReligion,None
4864,Madam ji..m apse nivedan karunga ki..ak bar prakashit vakya ki book padhiye... Ar use samajh kar duniya..me jo chal rha h use dekhiye.. fir ak bar sochiye. .. ap na chahte huy v vishvash karenge... Apki spirit ni yeshu ko nakar ni payegi..,Non-AntiReligion,None
2630,Sis mai bhi ak hindu hu but jo ijjat Or samman isai krte h koi nhi deta ha manti hu achai h toh buraai bhi h Or ap yesu ko ache pehchane nhi yesu papi ko bachane aya but jitne v dharm h woh papi ka nash krne aya or isai koi dhrm nhi h yesu jivan badlta h dharm nhi is desh ka dr ambedkar ne is releson se sikha insaan yat hindu hindu se nafrat krte h aj bhi kyi jagha log chhote jati ya nech jati ka pani nhi pite pr yesu ye sab nhi btata woh ak papi stree begar me pakdi gyi uska pap chhama kya or ye corona se apne dekh lya hoga kese log mr rahe h,AntiReligion,Hinduism
5561,Obesi ka nhi tha. Vo nadir shah ka sperm h.,AntiReligion,Islam
3649,Yeh aapka loss h sister...Yeshu ka nhi ..ya Christians ka nhi...ek din pata chal jaega aapne kya khoya h...May God bless you...,AntiReligion,Christianity 
8614,"Peenaz, hr ek maulana aapke show mei nanga ho jata hai aur Islam ko bhi nanga kr deta hai 🌹",AntiReligion,Islam
8232,Capti zameen wale log chutie hote h ... Hence proved,Non-AntiReligion,None
294,Abe salo tum log to wahe kha bhe lete ho 😂 or pe bhe lete ho 😂wo bhe gay ka 🤣,Non-AntiReligion,None
2647,तुम कांग्रेस के कटु है ये मोलामागेलानी कुदरत है इन्सान को एकदम पुरे सरीरा सोबरम बनाकर ईसदुनीया में भेजा है लेकिन तुम कुदरत के नीजम बदल दिया छलुआ कर के,AntiReligion,Islam
8635,"Jaha, pure, napaki, hai, vaha, kyu, hamari, betiya, shadi, kar, rahi, hai,",Non-AntiReligion,None
2944,दिन में 5 बार नमाज में मुसलमान कहते हैं कि मैंने अल्लाह और उसके पैगम्बर को देखा है और मैं इसकी गवाही देता हूं। अब बताओ कि अंधभक्त कौन है।,AntiReligion,Hinduism
8151,Vedh ko manay Kay Lia ex Muslim ki zaroorat NAHI I believe in lord Vishnu and devas and also muslim,Non-AntiReligion,None
8621,Aese log peyda kyo hote he yar jo muslim Ke piche pad jate he,Non-AntiReligion,None
3599,Aese jahil khor ladkiyon ke sath aesa hona chahiye,Non-AntiReligion,None
4880,Mostly south me hi bahot log Christian me conver hote dekhe mene,AntiReligion,Christianity 
6575,इस पर चर्चा होनी चाहिए सभी चैनलों पर।,Non-AntiReligion,None
8968,Inko Maa ka .... Sale Har Kahi chalu karde te hai Jaise Inka Baap Ka Jagha hai yeh sab Pakistan jaoo Bhosdi Walo waha karna jake allah Hu akbar Chutiye Saale 🤣🤣🤣🤣 Jai Shree Ram 🚩🚩💝,AntiReligion,Islam
9145,Dikhawa karte hai bass reality toh malum hai,Non-AntiReligion,None
4424,Aur karo kaafiron se shadi lol 😂,Non-AntiReligion,None
2536,Pakistan KO jabbab de hamari sarkar kaya karrahi hai jinda jalawo en muslamaano ko,AntiReligion,Islam
9382,"Tum muslim ladkiyon ko bhagwa love trap ke naam par phansa kar hindu ladke inko apni hawas ka shikar banakar chod dete hain. Ye sab police ko milakar hota hai. Tum ladkiyon ko ye sab samajh mey nahi aata hai kya, ab aansu 😢 bahati raho . Tum jaisi ladkiyon ke naam poochkar uska matlab samajhkar ye tumhare kareeb aate hain tarah tarah ki tareef karke , aur uske baad ye tumko nit naye tarike sey Islam sey apney maa baap sey door kar dete Hain, In sab campaign ke liye rss wale 15 roz ki training Dey rahe hai aur sath mey 5 lakh rupye, ye sab nahi pata kya , ki koi bhi doosri community ka ladka tumhare piche kyon laga hai hindu ladkiyon ko chod kar, Ab akal thikane aa gayi.",AntiReligion,Hinduism
960,Sameer Muslims Nahin usne Quran Ki aayat ko galat tarike se pesh Kiya Quran mein jo aayat hai vah US time ke Jamane mein jo log Mohammad profit ko satate the UN per Atyachar Karte The aur unke manne Wale Ko Katla Karte The unko Kafir Kaha Gaya Jo log Islam ke Paigambar ko Katla karne ka mansuba banate the unhen jahannumi Kaha Gaya vah dojak Mein Jayegi aur uske bad jo bhi log Kisi per bhi Atyachar Karenge Jaisa ki rape Manavta Ka Katla vah log bhi narg Jayegi aur jo log Manavta Ki Seva karte hue Allah Ko manenge namaj padhenge Ek Ishwar Mein manenge vah Jannat mein Jayegi,AntiReligion,Islam
7089,इंडियन पागल है.. की उन्हे अपने धर्म की महानता पत नही...,AntiReligion,Hinduism
6972,Ekadam free mein ham de denge tumko 😂😂😂😂,Non-AntiReligion,None
9321,Ek SAIKO DHARU PEKER ISLAM NAAM KA EK VIRUS KO CRIYETE KIYA..ESKE BINA ALLAH NAAM KA KOYE MULLA NAHI ....MONA HINDUSTANI 💃🇮🇳👈,Non-AntiReligion,None
8706,Ksm khao Hinduwo ki yaha muslimo ko paker k hindu bnaao,AntiReligion,Hinduism
10439,"Musalman kabhi bhi sachai ko digest nahe karsaktha hai , kyu k Islam one way religion hai aur Quran aur hadees me sach ho ya jhoot but ek baar islam qubool karney k baad jhoot ho tho bhi positively accept karna hoga , agar koi jhoot ya sach ki baath ka khulaasa karna chaha tho uss ki sazaa mauth death penalty hai , overall duniya ka koi bhi maulana , hafiz , imam well educated ex Muslim ka jawaab nahe day sak tha , finally wo kuch na kuch wajha se argument karey ga . Overall HATS OFF TO YOU PEENAZ JI FOR YOUR DARING AND SALUTE TO SAMEER KEEP IT UP BRO .",AntiReligion,Islam
1183,Asaduddin Sahab Garibi hai Sahib aap mahilaon ko karte hain kidney kam mein teen talaq hinduon Mein Vivah Janam Janam Ka Islam Mein contract hota hai nikala Nahin bacchon ka contact Hota Hai Uske bad Talaq hota hai FIR halala Maulvi log Karte Hain,AntiReligion,Islam
7842,आदम अलेही सलाम कि नसल है सब और वो मुसलमान थे लाईक करो,AntiReligion,Islam
3304,Jo Apne Maa Baap ki na hui aur kisi ki kise ho sakti he bhut acha hua,Non-AntiReligion,None
210,Muslim dharma guruo ke chehere par koi tej nahi 😂😂😂😂 Chor jesa lagta hai 😂😂,AntiReligion,Islam
1548,Jb tum bsdk murti le k ja skte ho Baja gaja k sath Pooja archana krte ho ho pandal lga h to namaz kyo nhi punya ka kaam h papi log kya smjhenge,AntiReligion,Hinduism
3262,Aap ko abhi bibal reading ki jarurat hai,Non-AntiReligion,None
2798,To aapka mananaa kya hai ki jesus nahi hai ? Bible nahi hai ?,Non-AntiReligion,None
10565,Ye Pakistani khud to shaikh logo ke islam ke ghulam(zombie) ho gaye hai..ab pak ke. Hindu ko bhi Islam ke bahane apne jesa zombie banana chahte hai I love Islam🤗,AntiReligion,Islam
2006,😂😂expose कर दिया समीर ने peaceful community को।,Non-AntiReligion,None
1847,Lekin baba to gufa me puja karate hai 😂😂😂kapde utaar kar🖕🏿🖕🏿🖕🏿🖕🏿,AntiReligion,Hinduism
9109,Bilkul sahi huwa iske sath keuki isny islam ko dhoka diya ❤Beshaq islam ko chorker jo bhi jata hai wo Dar Dar bhatakta= Example..waseem Rizwan or ye Larkiya..,Non-AntiReligion,None
4135,government sabhi muslimo ko road pr or jaha chahe ye sab krne ki permission dede or sari maszid gira de.. 😂 kyu ki namaj kahi bhi ho skti he to kyu chahiye maszid. or maszid chahiye to ye sab wahi kro..,AntiReligion,Islam
6973,Apne kaha ki yeshu kaise zinda kar sakta hai uske dono harh bande hue hai .par bible me likha hai ki yeshu mar kar zinda ho gaya hai.agar apke pass koi javab hai to plz reply karo .ya phir koi sawal bhi puch sakte ho.,AntiReligion,Christianity 
2460,AP lok sonnot kio karate he,Non-AntiReligion,None
7591,Aisi ladkiyo ke saath Aisa hi hona chahiye 😢😢❤ alhamdulillah main toh ek Katter Muslim ladki hu❤❤❤,AntiReligion,Islam
2479,Tum pagal log bus ISI Hindu Muslim ke chakkar mein marte jaaoge aur neta log iska fayda uthaenge Apne dimag ka istemal karo,AntiReligion,Hinduism
3873,जब तक हिन्दू मुर्गी की तरह दाना चुग ता रहे गा इसी तरह कटता रहे गा ओर मुर्गी को मरना पाप नहीं है एक तो होना ही पड़े गा,AntiReligion,Islam
8270,Bhai mujhe samajh nahin aata Islaam me forcibly religion accept karwana bikul galat hai. Phir yeh sab aisa kyu karte hai.,AntiReligion,Islam
1421,इंडोनेशिया में जिस दिन गरुड़ की मंदिर हटा देंगे उस दिन एयरपोर्ट डूब जाएगा,AntiReligion,Islam
8451,Wahabi aagya nafarmaan hai Sameer sala 😂😂😂 mardood murtad Ala Hazrat jindabad king of Sunni Muslim,AntiReligion,Islam
11097,Tab kya muslim direct akash se tapak pare,Non-AntiReligion,None
8116,Ajaan me kyu kahte be allah se bada koi nahi Allah hai kon Dikhta kaisa hai,AntiReligion,Islam
9126,Soi huve goverment he jyo sadak ka railway ka kachara saf nahi kar wa rahi he...........,Non-AntiReligion,None
4789,Ishka badla humare desh mai Lena chahiye...sab salo eki thalike hai...,Non-AntiReligion,None
223,मोमिन होने के लिए अनपढ़ होना भी जरूरी है ।,AntiReligion,Islam
10556,Aap dono ko prabhu yesu chama late Bhai bahan dono bane jhuthe ho aaplog Aapani bato se hi dono phasoge Sachi hai keys ye to batae nahi to Keya sikhaoge,Non-AntiReligion,None
618,Ab pakistan me upasthi alpsamkhyako ke liye Bharat ko bolna hi hoga,Non-AntiReligion,None
9355,Jo aesa yakin rakhe vo gumrah he,Non-AntiReligion,None
10664,Hindu ke purvaj musalman the Adam a.s.hamare pehle nabi the .,AntiReligion,Hinduism
10113,ये त्यागी जो है हिंदुओं के देवी देवताओं की हिंदुओं की आस्थाओं की मजाक उड़वा रही है अगर हिंदू के देवी देवताओं की बात करनी है तो यहां वेदों उपनिषदों का ज्ञानी जो है उसको भी यहां बिठाये ये मूल्ला खबीज का बच्चा उल्टी सीधी बोल रहा है tv पर,AntiReligion,Hinduism
994,मैंने जितने भी मौलानाओ और टीवी पर और आंखों के सामने देखा उनमें एक बात कौमन है कि वे बहुत जल्दी गुस्से में आ जाते हैं और जो जल्दी गुस्से में आ जाये वो अल्पज्ञानी या फिर गलत होता है समीर भाई गलत नहीं है । धर्म ऐसा होना चाहिए जो सबका सम्मान करना सिखाता हो जैसे हिन्दू धर्म जहां पर भगवान एक बूढ़ी औरत के झूठे बेर तक खा लेते हैं अपने दोस्त के सम्मान के लिए श्रीकृष्ण जी ने सुदामा जी के पैर तक धोये । और सेवा और साथ क्या होता है ये हनुमान जी से सीखना चाहिए उनसे बढ़ा साथी इस दुनिया में ना है ना होगा इसलिए सादगी और अच्छा जीवन जीने के लिए हिन्दुत्व अपने अंदर लाना जरुरी है,AntiReligion,Islam
4537,Hindu festival me gali gali log block kar ke bethe hote.... nafrat felane vale jo marji karlo ek Deen undhe muh girne hi vale ho.....,Non-AntiReligion,None
8566,हिंदू और मुसलमान बनने से पहले इंसान बनो ! देश में अभी भी इंसानियत जिंदा है !,Non-AntiReligion,None
9429,"Islam mein bibi bhi udhar di jate hai bhai sab I'm toh shocked😱😂😂 Safi ne nasim ko apni bibi udhar di thi jise nasim loutane se saf inkar kardi Nasim be like: maze abhi suru huya ji bharke le lu phir deta hoon , Safi be like: haye allah mere bibi ke dhol parke ropu karke dega lagta shayad 😭😭",Non-AntiReligion,None
6519,Bhut acha hua iske shat eshi huna chiye eshi ladki ke shat,Non-AntiReligion,None
3882,India government ko ye muddha utana chaiye or desh k हिन्दुओ in se nhi sikha to ek din inka b yhi haal hoga,Non-AntiReligion,None
7606,Murtad. Sadaqat. Quraishy. Tum. Islam. Ko. Na. Mita. Sako. Gai. 😁😅😂😜😍🐒🐒🐒,Non-AntiReligion,None
2719,Ham to musalman hai mugalon khandan se nata rakhte Hain,AntiReligion,Islam
5834,Praise the Lord.. Mai khud hindu family's se hu lekin aaj mai prabhu ke charno me apna sara jivan de diye. Kisi ne mujhe koi lalach nahi diye or na he koi prothsahan Jab hamare logo ne mujhe thukraya tab yahi Christian logo ne mujhe apnaya or jeena sikhaya... Aaj mai kayi achi jivan ko jee rahi hu... Aisa nahi ki mere pas bahut kuch hai.. Nahi.. Mere sath mera prabhu hai,Non-AntiReligion,None
10306,Sabke purbaj Adam (a.s) Nabi hai .koi kisika purbaj nehi hai Adam Nabi (a.s) ko chhodkar.,Non-AntiReligion,None
7233,Bharat mai to Malai kha rahe hai muslims,AntiReligion,Islam
11077,लल्ला लालाला और सबका बाप जय श्री राम ही है ।,Non-AntiReligion,None
2588,"Modiji! Hamare Desh Ko Sirf Aur Sirf Aap-hee Bachaa Sakte Ho? Krupya, Wo Jholaa Uthao: Aur Chale Jaao. Kursi Hai Tumhari, Janaza Tto Nahi Hai; Kuchh Kar Nahi Sakte, Tto Utar Kyun Nahi Jaate? Dear Please Be Safe; Savari Apne Samaan, Hindustani Apni Jaan Ke Khud Jimmedaar Hain.",AntiReligion,Hinduism
2240,Allha Tala he to chhabi kiske paas he ?,AntiReligion,Islam
514,जीतना सुनी मुसमान हे व साब हीनदु है,AntiReligion,Islam
6556,"*Koi bhi mulla, molvi, mufti aa jaye, debate ki ending We can guess easily now* *""Abuse, Scream, Cry, Run"".....* 😁",AntiReligion,Islam
6445,"क्या कहता सनातन ये नहीं बनेगा, क्यों मेरा एजेंडा इस्लाम के खिलाफ है",AntiReligion,Islam
1878,एस इनको जबरदस्ती मुसलमान कुबुलवा या गया,AntiReligion,Islam
6523,Enone jesus mashi ko nahi jana,Non-AntiReligion,None
6682,𝙰𝚗𝚝𝚑 𝚗𝚒𝚔𝚊𝚝 𝚑𝚊𝚒 𝚊𝚙𝚗𝚎 𝚙𝚊𝚊𝚙𝚘𝚗 𝚜𝚎 𝚖𝚗 𝚙𝚑𝚒𝚛𝚊𝚘 𝚙𝚛𝚊𝚋𝚑𝚞 𝚢𝚎𝚜𝚑𝚞 𝚔𝚘 𝚊𝚙𝚗𝚊 𝚞𝚍𝚍𝚑𝚊𝚛 𝚔𝚛𝚝𝚊 𝚐𝚛𝚊𝚑𝚊𝚗 𝚔𝚛 𝚕𝚘.. 𝙰𝚋𝚑𝚒 𝚋𝚑𝚒 𝚜𝚊𝚖𝚊𝚢 𝚑𝚊𝚒.. 𝙰𝚖𝚎𝚗,Non-AntiReligion,None
10977,Ye log sach me bolte h ...humara dharm man lo.. Or lalach dete h,Non-AntiReligion,None
6012,"""aap anchor nahi hindu ho"" 🤣🤣🤣🤣",Non-AntiReligion,None
4391,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 CULTURE TRADITION DARMA 💀HAR HAR MAHADEV,Non-AntiReligion,None
6911,"yadi christian banne se paisa milta to logo ko mehnat karke ghar chalane ki jarurt nahi hoti ,duniya me Christians logo ke pass itna paisa hai to preaching karke christian banane ki kya jarurt hoti vo to sare india kya duniya ke logo ko paise se bana lete .aaj india me hindu log naitik rup me gir rahe hai ve hi apne nash ka karn ban rahe hai isliye unme agyanta ke karn apradh bad rahe hai , log peaceful life jina chahte hai , sach logo tak pahuch raha hai ki repentance karo , pray for india , yeshu par vishwas karnewale kabhi lajit nahi hua, daro mat yeshu par chhod do vahi in logo ko sahi rasta dikhayega. ek maan ho kar prathana me lage raho ki yeshu hi jite chahe hum rahe n rahe .",AntiReligion,Christianity 
6729,Oh madam is Samay deshon ke sath Aise Maulana Ka Mat bataiye Aise Maulana Kobita 2,AntiReligion,Islam
3528,Bhut bahut dhanybad apka mam koi to utha darmantarn ke liye aap aise hi km krti rhiye or apna dhyn rhiye sir Aapka bhi bhut abhar Jo Aapne mam SE miliya jay Shri Ram 🙏🙏🙏🙏,Non-AntiReligion,None
10044,Krishan or ram ya chandi ban jao nahi maut ko Gale laga lena tabhi suaro ka nash hoga.jay hind,AntiReligion,Islam
11413,Ab Time aa gaya Saare hindu bhai ek sth khde rhe.. koi bhi jaat ka hou bs Dharam Sanatani hona chahiye🚩 Jai shri ram🚩 Jai Chhatrapati Shivaji maharaj🚩🚩,AntiReligion,Hinduism
3547,"हिन्दुओं की धार्मिक शिक्षाएं आज सेक्युलरिज्म के बोझ से कराह रहीं हैं।हिन्दुओं की दयालुता आज उसे मुर्गा बना रही है। आज तक हिन्दू यह नहिं समझ पाए कि इस सदभावना के कारण सुनियोजित ढंग से उनका धन, महिलाएं ,जमीन लूटा जाने के बाद उनको मौत के घाट उतारा जा रहा है।",AntiReligion,Islam
4949,Thik huwa Allah aise logo ke sath sahi insaf karta hai,Non-AntiReligion,None
2275,Yes sabke purwaz ak hi th me khud sikh jaat hu,Non-AntiReligion,None
5248,Peenaz mam ji aisa kuchh nai hai srf musalman ko jannat milegi but jannat musalmano kb milegi saza katne baad mere nabi s.a.w aaker baksis krayenge uske baad Jo inhone kaha maulana sb ne ke Momin ko jannat milegi to wo Momin Kon aapne ye pahle Janne ki kosis kijiye Momin wo hai jisne Allah ke hukm pr Zindagi Gulzar basar kiya or 5 waqt ki namaz pawandi se aada kiya or nabi s.a.w ke tariqe pr Zindagi Gulzar kiya to hi wo jannat ka haqdar hoga,AntiReligion,Islam
10478,जहां जहां राम जाएंगे वहां बर्बादी लाएंगे। उनको सच्चाई मालूम चल गई थी आपको किताब पढ़ने की जरूरत है सुनी सुनाई बातों पर ध्यान ना दें,Non-AntiReligion,None
1417,Hmare desh me ar bhut Kam hai ek dusre ke daram ko chodo apna apna daram dekho ok muslman muslman krte rhte ho i,Non-AntiReligion,None
3035,Yes bro. Hallelujah bolne se miracal hota hai,AntiReligion,Christianity 
2884,नंगों को नंगा कर रहा है ये प्रोग्राम। 🤣🤣,Non-AntiReligion,None
10835,"नही करना है भाई सड़क पर हमे पूजा हमारे परमात्मा हमारे हृदय और हमारे मंदिरों में ही अच्छे लगते सड़क पर ,railway station, or pta ni kaha inke bhagwan h 🤣👍🏻 चलो अच्छा है हमारे भगवत गीता को ये लोग मानते हैं की कण कण में भगवान है 👍🏻",Non-AntiReligion,None
9511,Kitne jelebi banate hai ye yar,Non-AntiReligion,None
9363,"अरे यही लोग तो है सेकुलरिज्म, डेमोक्रेसी, इक्वलिटी के जनक 😇 जा के पुछो तो जवाब मिलेगा "" हा हम ही थे ""🤣",Non-AntiReligion,None
9758,Hindu bano ya isai sabki apni choice h magar iske chakkar me kisi dharm ko bura bolna theek nahi h.ye madam hindu ban gai achha h inke liye ab ye ghanta bajaye kisi ko kya karna magar ab ye Zakir naik wala kaam shuru karengi,Non-AntiReligion,None
2309,Bhai namaz hoti he chutya aapa nhi hot kya kar rha ye ye pk he,AntiReligion,Islam
4032,Kya koi hindu samudai mujhe 10 lakh dega to kya mai hindu ho jauga ye log sirf jutha aarop laga kar case me fasate hai,Non-AntiReligion,None
5718,Peyaj ko jitna chilo gye kuch nahi milega,Non-AntiReligion,None
7670,पहले पिनाज हिन्दु हैं उसके बाद एंकर है ।,Non-AntiReligion,None
9065,Ave khuda ko kya khodkr nikaloge ab,Non-AntiReligion,None
10392,👉Mere pass fortuner h jis din mere samne aye toh gadi chada dunga seedha 👌👌,Non-AntiReligion,None
8935,Aap bhi Allah paida kiya tha kaise maloom aapko bhad mein jaaye,AntiReligion,Islam
8687,एक दिन हम सबका न्याय होगा आप उस दिन जरूर सुनेंगे,Non-AntiReligion,None
6864,wah sameer kya kaleja pays hey,Non-AntiReligion,None
6204,Ik din ya road pe hi ajayga sala na maszid bnaya hai wo mandir hai or rahaga,AntiReligion,Islam
2886,"जबरजसती बना है ईनमे से किसी ने 72 हूर देखा है जो कलपना मे लोगो को गुमराह करते है, डरा धमका कर धरम परिवरतन कराते है।",Non-AntiReligion,None
2735,भारत में अल्पसंख्यकों को दामाद बनाकर रखा जाता है,Non-AntiReligion,None
11371,Sabse halka maulana ye toh... Attitude toh dekh lo bande ka 😂,AntiReligion,Islam
409,Ha hindo the bot parast kabe se he,Non-AntiReligion,None
9885,Quran sarif Kahne bala Allah abhura Hai Quran sarif surat furkan 25 ayedh 52 se 59 mai 6 di mai chisti rachi 7 MA din takat pe ja biraja us Allah Tala ki khabar kisi ba khabar se pos dekho. Sat sahb,AntiReligion,Islam
11343,Jesus hi provhu he ohi odhar korta he. Opne papo Se mon firao .nahi to narak jaoge,Non-AntiReligion,None
3235,hindu tum india aa jaO ye muslim hme kafir hi smjhenqe inke dhrm m hmare liye bOht kujh kha h Or ye hmesha apne dhrm kO fOllOw krenqe,AntiReligion,Islam
8265,तुमने बाइबल ना तो पड़ी है और ना तुम उसको समझते हो,Non-AntiReligion,None
101,TO KARO KISI NE ROKA HAI KYA HINDUO KO BHONDU HINDU SAMAJ KHUD HI EAKJUT EAKSATH NAHI HOTA SAZA BHI TO HINDU HI BHOG RAHA HAI KISI NE KUMBHKARAN KO JAGNE SE MANA TO NAHI KIYA 100crore HOTE HUE BHI 30CRORE SE MAR KHA RAHE HAI DAM HAI TO DIKHAO,AntiReligion,Hinduism
11317,Bahut acche vichar Hain Aapke bahut pasand Aaya bahut badhiya kam kar rahe hain aap,Non-AntiReligion,None
9164,Sanatan Dharam 🙏 me fir se lotne par aap ka bahut bahut SWAGAT hai maim🌹🌹,Non-AntiReligion,None
1210,Jab namaz sadak par ho sakti hai to inhe maszid ki kya jarurat hai . Parantu pooja sadak par nahi Ho Sakti isliye sabhi maszid ke sthan par Mandir bana diya jana chahiye,AntiReligion,Islam
1685,Yaar Kisi dhrm se comparison mat kro hate spread mat kro,Non-AntiReligion,None
142,"अल्लाह,और ईश्वर एक है। । क्या आप ईश्वर और राम को एक समझ सकते है?",Non-AntiReligion,None
3755,Hy JESUS ES JIHADI GANG MUSLIMS KO JIHADI GANG KYU BANAYA ....MONA HINDUSTANI 💃🇮🇳👈,AntiReligion,Christianity 
9190,Tu porok ko kiko taklef dete ho,Non-AntiReligion,None
9603,Fir Koran jagah ka Kiyo hya jab aLha ne diya aasman se aaya to jagah ka Kiyo fir to sona chandi ka hona chahiya tha jhutha hi kah diya ki aasman se aaya sab jhutha hya,Non-AntiReligion,None
2038,यै कौन सी नई बात हैं,Non-AntiReligion,None
8831,Agar koi jahannam hai to usame muslaman rakshas jayega kyonki inaka karm hi bahut ganda hai.,AntiReligion,Islam
6234,Pta nhi kaha kaha se aise jahil molana a jate h debate me ...na ata na pta bs baukhalahat wali bate krna ...aise hi molanao ki wjh se swal uthate gair Muslims kyunki aise logo ko koi ilm to hota nhi bs chand paiso ke liye a jate debate me,AntiReligion,Islam
2461,"Avery salu, khali copy kartey rahoge? Agar muslim nahi kiya to tum kabhi bhi nahi karoge?",Non-AntiReligion,None
1742,बस कुछ दिन की बात है पाकिस्तान हमारा होगा,AntiReligion,Islam
4244,"Shaitan aur bhakt me anter he vision ka hai,dektain hain q ki roshni hai parantu dikhta nahi q ki vishwas nahi,gyaniyon ki yahi parikchha hai.",Non-AntiReligion,None
314,"Pakistan men Hinduo Par jurm band karo, Pakistan ko Black list Karo",AntiReligion,Hinduism
